group,subj_id,area of end region 1(mm^2),area of end region 2(mm^2),branch volume(mm^3),curl,diameter(mm),elongation,gfa,irregularity,irregularity of end region 1,irregularity of end region 2,iso,mean length(mm),nqa,number of tracts,qa,radius of end region 1(mm),radius of end region 2(mm),span(mm),total area of end regions(mm^2),total radius of end regions(mm),total surface area(mm^2),trunk volume(mm^3),volume(mm^3)
0,sub-HC02,678.0,778.0,11829.0,3.43886,12.9684,6.90556,0.0,8.615730000000001,1.2602799999999998,0.550669,0.0,89.5541,0.0,4378.0,0.0,16.492,11.6778,26.0418,1456.0,28.1698,31435.0,0.0,11829.0
0,sub-HC03,631.0,850.0,13158.0,3.47442,12.1288,9.38969,0.0,7.57748,2.0427299999999997,0.27666199999999996,0.0,113.885,0.0,5790.0,0.0,20.2556,8.65185,32.7782,1481.0,28.9075,32882.0,0.0,13158.0
0,sub-HC04,927.0,960.0,16891.0,3.0687900000000004,14.4518,7.12529,0.0,9.61555,0.932558,0.7177359999999999,0.0,102.973,0.0,5706.0,0.0,16.5883,14.8096,33.555,1887.0,31.3979,44954.0,0.0,16891.0
0,sub-HC05,770.0,609.0,13191.0,4.0399199999999995,12.2392,9.16078,0.0,8.36195,1.04207,0.6623,0.0,112.12,0.0,3813.0,0.0,15.9816,11.3308,27.7531,1379.0,27.3124,36049.0,0.0,13191.0
0,sub-HC06,486.0,468.0,9871.0,3.2902199999999997,10.9966,9.45139,0.0,7.249560000000001,1.11913,0.481292,0.0,103.93299999999999,0.0,3502.0,0.0,13.1578,8.46744,31.5885,954.0,21.6252,26030.0,0.0,9871.0
0,sub-HC07,485.0,864.0,12319.0,3.7984,12.0663,8.92825,0.0,7.87408,1.27346,0.38877399999999995,0.0,107.73100000000001,0.0,4808.0,0.0,14.0213,10.3402,28.3621,1349.0,24.3616,32156.0,0.0,12319.0
0,sub-HC09,502.0,390.0,7412.0,4.74582,9.369110000000001,11.4749,0.0,6.6033800000000005,1.31364,0.564914,0.0,107.51,0.0,2820.0,0.0,14.4882,8.3743,22.6536,892.0,22.8625,20896.0,0.0,7412.0
0,sub-HC10,823.0,671.0,13378.0,3.3685699999999996,13.3169,7.21253,0.0,9.514380000000001,1.3375700000000001,0.864361,0.0,96.0488,0.0,4004.0,0.0,18.719,13.5873,28.5132,1494.0,32.3063,38232.0,0.0,13378.0
0,sub-HC11,409.0,432.0,9237.0,3.24525,10.8199,9.28479,0.0,7.70787,1.74055,0.790092,0.0,100.46,0.0,2920.0,0.0,15.0532,10.4233,30.9562,841.0,25.4766,26321.0,0.0,9237.0
0,sub-HC12,795.0,740.0,13545.0,4.37093,12.5736,8.67573,0.0,8.19839,1.13743,0.442137,0.0,109.086,0.0,4912.0,0.0,16.9656,10.2052,24.956999999999997,1535.0,27.1708,35327.0,0.0,13545.0
0,sub-HC13,632.0,566.0,10917.0,3.67325,11.227,9.822460000000001,0.0,7.50113,1.06855,0.45861499999999994,0.0,110.277,0.0,3830.0,0.0,14.6616,9.08986,30.0217,1198.0,23.7514,29176.0,0.0,10917.0
0,sub-HC14,607.0,656.0,10453.0,4.21736,11.1588,9.57855,0.0,7.9621,2.12141,0.75645,0.0,106.885,0.0,3755.0,0.0,20.2456,12.568,25.344,1263.0,32.8137,29834.0,0.0,10453.0
0,sub-HC16,467.0,605.0,9296.0,4.3286,10.2087,11.1249,0.0,6.5468,1.01203,0.46324399999999993,0.0,113.571,0.0,3913.0,0.0,12.2653,9.44513,26.2373,1072.0,21.7105,23846.0,0.0,9296.0
