group,subj_id,area of end region 1(mm^2),area of end region 2(mm^2),branch volume(mm^3),curl,diameter(mm),elongation,gfa,irregularity,irregularity of end region 1,irregularity of end region 2,iso,mean length(mm),nqa,number of tracts,qa,radius of end region 1(mm),radius of end region 2(mm),span(mm),total area of end regions(mm^2),total radius of end regions(mm),total surface area(mm^2),trunk volume(mm^3),volume(mm^3)
0,sub-HC02,1828.0,1211.0,27241.0,2.28654,18.5861,5.40216,0.0,11.9338,0.756012,0.520435,0.0,100.405,0.0,7828.0,0.0,20.9738,14.1638,43.9114,3039.0,35.1376,69964.0,0.0,27241.0
0,sub-HC03,1015.0,801.0,20417.0,2.27848,16.6598,5.62199,0.0,11.0186,0.851799,0.8425389999999999,0.0,93.6614,0.0,4750.0,0.0,16.5892,14.6567,41.107,1816.0,31.2459,54014.0,0.0,20417.0
0,sub-HC04,1177.0,975.0,23817.0,2.39879,17.671,5.49562,0.0,11.181,1.33291,0.530928,0.0,97.1128,0.0,5636.0,0.0,22.3467,12.8365,40.4842,2152.0,35.1832,60279.0,0.0,23817.0
0,sub-HC05,1156.0,1023.0,22377.0,2.34864,17.0249,5.7737300000000005,0.0,11.4749,0.831592,0.73917,0.0,98.2973,0.0,5797.0,0.0,17.4928,15.5144,41.8529,2179.0,33.0072,60329.0,0.0,22377.0
0,sub-HC06,524.0,404.0,13500.0,2.30095,13.8472,6.47372,0.0,10.5252,1.9451,1.6268200000000002,0.0,89.6432,0.0,2141.0,0.0,18.012,14.4639,38.9591,928.0,32.4759,41045.0,0.0,13500.0
0,sub-HC07,977.0,1052.0,21569.0,2.45201,16.8579,5.73235,0.0,12.1678,1.47329,0.646671,0.0,96.6352,0.0,4042.0,0.0,21.4051,14.7155,39.4106,2029.0,36.1206,62273.0,0.0,21569.0
0,sub-HC09,1262.0,1561.0,26018.0,2.31585,17.7797,5.894,0.0,10.5473,0.520331,0.365151,0.0,104.794,0.0,8828.0,0.0,14.4575,13.4699,45.2506,2823.0,27.9274,61738.0,0.0,26018.0
0,sub-HC10,1409.0,1435.0,27691.0,2.3213,17.9541,6.09192,0.0,11.4059,0.7954479999999999,0.297215,0.0,109.375,0.0,8147.0,0.0,18.887999999999998,11.6516,47.1181,2844.0,30.5396,70366.0,0.0,27691.0
0,sub-HC11,1205.0,1213.0,23897.0,2.33778,17.7769,5.4160900000000005,0.0,12.2538,0.781374,0.52132,0.0,96.2813,0.0,6182.0,0.0,17.312,14.1876,41.185,2418.0,31.4996,65890.0,0.0,23897.0
0,sub-HC12,870.0,750.0,16519.0,2.37406,13.7557,8.08061,0.0,9.51946,0.643578,0.644808,0.0,111.155,0.0,4344.0,0.0,13.3501,12.4071,46.8205,1620.0,25.7572,45727.0,0.0,16519.0
0,sub-HC13,785.0,625.0,18457.0,2.47581,15.5837,6.2095,0.0,11.3469,1.99862,1.14402,0.0,96.7672,0.0,3199.0,0.0,22.3473,15.0863,39.0851,1410.0,37.4336,53756.0,0.0,18457.0
0,sub-HC14,743.0,476.0,13380.0,2.51885,13.6742,6.66286,0.0,9.582410000000001,1.8163,0.937364,0.0,91.1092,0.0,3279.0,0.0,20.7259,11.9174,36.171,1219.0,32.6433,37505.0,0.0,13380.0
0,sub-HC16,980.0,730.0,18415.0,2.3507,15.0579,6.867360000000001,0.0,10.2729,1.3299299999999998,0.797622,0.0,103.40799999999999,0.0,4354.0,0.0,20.3682,13.614,43.9903,1710.0,33.9822,50253.0,0.0,18415.0
