group,subj_id,area of end region 1(mm^2),area of end region 2(mm^2),branch volume(mm^3),curl,diameter(mm),elongation,gfa,irregularity,irregularity of end region 1,irregularity of end region 2,iso,mean length(mm),nqa,number of tracts,qa,radius of end region 1(mm),radius of end region 2(mm),span(mm),total area of end regions(mm^2),total radius of end regions(mm),total surface area(mm^2),trunk volume(mm^3),volume(mm^3)
0,sub-HC02,3258.0,2743.0,57585.0,2.5075,30.339000000000002,2.62553,0.0,17.3325,0.8854790000000001,0.42603500000000005,0.0,79.6559,0.0,18611.0,0.0,30.3033,19.2868,31.767,6001.0,49.5901,131592.0,0.0,57585.0
0,sub-HC03,4365.0,3506.0,73744.0,2.40824,34.8793,2.21276,0.0,19.2268,0.620905,0.41098,0.0,77.1794,0.0,24718.0,0.0,29.3717,21.4161,32.048,7871.0,50.7879,162602.0,0.0,73744.0
0,sub-HC04,2029.0,1705.0,41711.0,2.56166,25.6676,3.14056,0.0,16.777,1.3756700000000002,0.5639649999999999,0.0,80.6105,0.0,10467.0,0.0,29.8074,17.495,31.4681,3734.0,47.3023,109054.0,0.0,41711.0
0,sub-HC05,3681.0,3276.0,66312.0,2.66763,31.7948,2.62685,0.0,18.283,0.936789,0.471837,0.0,83.5201,0.0,19497.0,0.0,33.1306,22.1816,31.3087,6957.0,55.3122,152526.0,0.0,66312.0
0,sub-HC06,2451.0,2152.0,55304.0,2.4479,29.9989,2.60827,0.0,17.1052,1.20764,0.486804,0.0,78.245,0.0,17263.0,0.0,30.6948,18.261,31.9642,4603.0,48.9558,126136.0,0.0,55304.0
0,sub-HC07,2389.0,2473.0,46099.0,2.5720099999999997,27.5843,2.7964900000000004,0.0,17.4783,1.1602700000000001,0.505482,0.0,77.1394,0.0,14039.0,0.0,29.7039,19.9476,29.9919,4862.0,49.6514,116839.0,0.0,46099.0
0,sub-HC09,2211.0,2704.0,52050.0,2.49646,27.7524,3.10047,0.0,16.5314,1.34884,0.384295,0.0,86.0456,0.0,16844.0,0.0,30.8106,18.187,34.467,4915.0,48.9976,124019.0,0.0,52050.0
0,sub-HC10,3931.0,3683.0,69312.0,2.5238,32.7646,2.50902,0.0,18.3112,0.770883,0.271031,0.0,82.2071,0.0,23143.0,0.0,31.0578,17.8252,32.5728,7614.0,48.8831,154946.0,0.0,69312.0
0,sub-HC11,2821.0,2280.0,54665.0,2.4611099999999997,30.1644,2.53592,0.0,17.4916,0.7693989999999999,0.461099,0.0,76.4946,0.0,16422.0,0.0,26.2847,18.2932,31.0814,5101.0,44.5779,126796.0,0.0,54665.0
0,sub-HC12,3367.0,2251.0,56689.0,2.57872,29.8284,2.71969,0.0,18.1888,0.777591,0.452909,0.0,81.124,0.0,15267.0,0.0,28.8684,18.0143,31.459,5618.0,46.8827,138272.0,0.0,56689.0
0,sub-HC13,3302.0,2677.0,54611.0,2.58528,29.4611,2.7192,0.0,16.3263,0.669327,0.500729,0.0,80.1108,0.0,18742.0,0.0,26.5236,20.6562,30.9873,5979.0,47.1798,121054.0,0.0,54611.0
0,sub-HC14,2852.0,1767.0,48011.0,2.5478099999999997,28.2398,2.71434,0.0,17.8232,0.838583,0.620595,0.0,76.6526,0.0,13736.0,0.0,27.5913,18.683,30.0857,4619.0,46.2744,121206.0,0.0,48011.0
0,sub-HC16,4292.0,3211.0,61018.0,2.512,31.6146,2.45871,0.0,17.6897,0.7075600000000001,0.312208,0.0,77.7309,0.0,20831.0,0.0,31.0911,17.8635,30.9438,7503.0,48.9547,136569.0,0.0,61018.0
