group,subj_id,area of end region 1(mm^2),area of end region 2(mm^2),branch volume(mm^3),curl,diameter(mm),elongation,gfa,irregularity,irregularity of end region 1,irregularity of end region 2,iso,mean length(mm),nqa,number of tracts,qa,radius of end region 1(mm),radius of end region 2(mm),span(mm),total area of end regions(mm^2),total radius of end regions(mm),total surface area(mm^2),trunk volume(mm^3),volume(mm^3)
0,sub-HC02,193.0,365.0,6901.0,2.31918,10.3727,7.8730199999999995,0.0,5.95745,0.379546,0.408916,0.0,81.6648,0.0,2605.0,0.0,4.82876,6.892689999999999,35.2128,558.0,11.7215,15854.0,0.0,6901.0
0,sub-HC03,371.0,355.0,7322.0,2.20827,11.2953,6.46915,0.0,7.03333,0.31953400000000004,0.407454,0.0,73.0709,0.0,2230.0,0.0,6.14286,6.78545,33.0896,726.0,12.9283,18237.0,0.0,7322.0
0,sub-HC04,514.0,407.0,11012.0,2.29604,13.1313,6.19238,0.0,7.2182,0.678238,0.579615,0.0,81.3137,0.0,3550.0,0.0,10.5341,8.66547,35.4148,921.0,19.1996,24213.0,0.0,11012.0
0,sub-HC05,221.0,145.0,5298.0,2.23713,9.36401,8.215539999999999,0.0,6.48614,0.470603,2.0689599999999997,0.0,76.9304,0.0,1080.0,0.0,5.7537199999999995,9.772039999999999,34.388000000000005,366.0,15.5258,14679.0,0.0,5298.0
0,sub-HC06,369.0,209.0,6766.0,2.22063,11.0853,6.32413,0.0,7.3248,0.530061,1.55546,0.0,70.1048,0.0,1776.0,0.0,7.890439999999999,10.1725,31.5698,578.0,18.0629,17883.0,0.0,6766.0
0,sub-HC07,30.0,25.0,1047.0,2.2484599999999997,4.56356,14.0264,0.0,5.41568,2.15048,3.74989,0.0,64.0103,0.0,60.0,0.0,4.531619999999999,5.46266,28.4685,55.0,9.99428,4970.0,0.0,1047.0
0,sub-HC09,294.0,363.0,8601.0,2.2480900000000004,11.6614,6.90567,0.0,6.89231,0.504594,0.748387,0.0,80.5298,0.0,2518.0,0.0,6.87179,9.29911,35.8214,657.0,16.1709,20334.0,0.0,8601.0
0,sub-HC10,644.0,434.0,10964.0,2.2077,13.3234,5.90247,0.0,7.539680000000001,0.294513,0.47635900000000003,0.0,78.641,0.0,3942.0,0.0,7.769989999999999,8.112169999999999,35.6213,1078.0,15.8822,24818.0,0.0,10964.0
0,sub-HC11,744.0,676.0,14577.0,2.32606,15.3881,5.09357,0.0,7.412730000000001,0.22793899999999997,0.462672,0.0,78.3804,0.0,6086.0,0.0,7.347180000000001,9.9778,33.6966,1420.0,17.325,28088.0,0.0,14577.0
0,sub-HC12,402.0,252.0,7708.0,2.27142,11.7839,5.99777,0.0,7.440580000000001,0.331472,0.42455,0.0,70.6769,0.0,2097.0,0.0,6.51271,5.83566,31.1158,654.0,12.3484,19468.0,0.0,7708.0
0,sub-HC13,204.0,201.0,6339.0,2.31009,9.756860000000001,8.689630000000001,0.0,5.77654,2.21369,0.518788,0.0,84.7834,0.0,2242.0,0.0,11.9894,5.76127,36.7014,405.0,17.7507,15012.0,0.0,6339.0
0,sub-HC14,136.0,250.0,5323.0,2.2467099999999998,9.67954,7.47313,0.0,6.607289999999999,1.58608,1.0214299999999998,0.0,72.3365,0.0,1424.0,0.0,8.28624,9.0157,32.1967,386.0,17.3019,14534.0,0.0,5323.0
0,sub-HC16,639.0,287.0,7595.0,2.2966599999999997,11.5974,6.19956,0.0,6.95269,0.231791,0.526872,0.0,71.8985,0.0,2515.0,0.0,6.86631,6.93775,31.3057,926.0,13.8041,18213.0,0.0,7595.0
