group,subj_id,area of end region 1(mm^2),area of end region 2(mm^2),branch volume(mm^3),curl,diameter(mm),elongation,gfa,irregularity,irregularity of end region 1,irregularity of end region 2,iso,mean length(mm),nqa,number of tracts,qa,radius of end region 1(mm),radius of end region 2(mm),span(mm),total area of end regions(mm^2),total radius of end regions(mm),total surface area(mm^2),trunk volume(mm^3),volume(mm^3)
0,sub-HC02,608.0,986.0,20738.0,2.3063599999999997,18.2151,4.36901,0.0,10.2834,0.592178,1.3325799999999999,0.0,79.5819,0.0,5253.0,0.0,10.7054,20.4508,34.5054,1594.0,31.1562,46831.0,0.0,20738.0
0,sub-HC03,610.0,841.0,17919.0,2.3889099999999996,16.8639,4.7572,0.0,9.91961,0.698492,1.45617,0.0,80.2249,0.0,4834.0,0.0,11.6458,19.7437,33.5823,1451.0,31.3895,42161.0,0.0,17919.0
0,sub-HC04,778.0,984.0,24378.0,2.33869,18.4908,4.90954,0.0,11.014000000000001,0.5140939999999999,2.11298,0.0,90.7813,0.0,6050.0,0.0,11.2833,25.7259,38.8171,1762.0,37.0092,58083.0,0.0,24378.0
0,sub-HC05,1020.0,790.0,19878.0,2.2840700000000003,18.1906,4.20479,0.0,9.74066,0.24671300000000002,1.5877299999999999,0.0,76.4875,0.0,7796.0,0.0,8.94995,19.9814,33.4874,1810.0,28.9314,42577.0,0.0,19878.0
0,sub-HC06,550.0,604.0,13589.0,2.3123,14.845999999999998,5.2876900000000004,0.0,9.311960000000001,0.8368700000000001,1.58243,0.0,78.5012,0.0,3505.0,0.0,12.1042,17.4424,33.9494,1154.0,29.5466,34094.0,0.0,13589.0
0,sub-HC07,754.0,713.0,15874.0,2.2951099999999998,15.9105,5.01812,0.0,9.92305,0.5957859999999999,1.12595,0.0,79.84100000000001,0.0,4848.0,0.0,11.9579,15.9856,34.7875,1467.0,27.9435,39601.0,0.0,15874.0
0,sub-HC09,764.0,627.0,19335.0,2.4175,16.3715,5.61032,0.0,10.226,0.749851,1.5316299999999998,0.0,91.8495,0.0,5595.0,0.0,13.5039,17.4838,37.9936,1391.0,30.9877,48308.0,0.0,19335.0
0,sub-HC10,505.0,662.0,12826.0,2.2603299999999997,14.0074,5.94188,0.0,8.64599,0.630207,1.4556,0.0,83.2306,0.0,3849.0,0.0,10.065,17.5136,36.8224,1167.0,27.5786,31667.0,0.0,12826.0
0,sub-HC11,425.0,396.0,11369.0,2.30193,13.1709,6.33559,0.0,8.99337,1.24037,1.3711,0.0,83.4454,0.0,2324.0,0.0,12.9537,13.1464,36.2502,821.0,26.1001,31052.0,0.0,11369.0
0,sub-HC12,140.0,118.0,4748.0,2.45455,8.91643,8.527999999999999,0.0,7.858219999999999,1.62347,6.48621,0.0,76.0394,0.0,720.0,0.0,8.50572,15.6085,30.979,258.0,24.1142,16738.0,0.0,4748.0
0,sub-HC13,824.0,432.0,16807.0,2.35601,15.5912,5.64631,0.0,9.70192,0.765779,2.2119299999999997,0.0,88.0326,0.0,4166.0,0.0,14.1723,17.4403,37.3651,1256.0,31.6126,41834.0,0.0,16807.0
0,sub-HC14,856.0,1137.0,23750.0,2.30905,18.7882,4.5595300000000005,0.0,10.3628,0.490525,1.4791299999999998,0.0,85.6653,0.0,8544.0,0.0,11.5609,23.136999999999997,37.0998,1993.0,34.698,52398.0,0.0,23750.0
0,sub-HC16,521.0,720.0,14899.0,2.4601900000000003,15.587,5.00931,0.0,10.5907,0.820472,2.22191,0.0,78.0802,0.0,3293.0,0.0,11.6648,22.566,31.7375,1241.0,34.2308,40493.0,0.0,14899.0
