group,subj_id,area of end region 1(mm^2),area of end region 2(mm^2),branch volume(mm^3),curl,diameter(mm),elongation,gfa,irregularity,irregularity of end region 1,irregularity of end region 2,iso,mean length(mm),nqa,number of tracts,qa,radius of end region 1(mm),radius of end region 2(mm),span(mm),total area of end regions(mm^2),total radius of end regions(mm),total surface area(mm^2),trunk volume(mm^3),volume(mm^3)
0,sub-HC02,2454.0,1547.0,47743.0,2.42786,26.8063,3.15578,0.0,13.8509,0.912841,0.357219,0.0,84.595,0.0,16638.0,0.0,26.703000000000003,13.2629,34.8434,4001.0,39.9659,98676.0,0.0,47743.0
0,sub-HC03,3641.0,2707.0,61948.0,2.31376,30.8794,2.6787400000000003,0.0,15.6916,0.639614,0.49541,0.0,82.7179,0.0,21511.0,0.0,27.2267,20.660999999999998,35.7505,6348.0,47.8877,125917.0,0.0,61948.0
0,sub-HC04,1971.0,1787.0,44998.0,2.33207,26.4866,3.08335,0.0,14.3691,1.7754599999999998,0.698996,0.0,81.6675,0.0,13458.0,0.0,33.3752,19.94,35.0193,3758.0,53.3152,97646.0,0.0,44998.0
0,sub-HC05,1356.0,993.0,31397.0,2.29481,22.6148,3.45635,0.0,14.3047,1.25547,0.5425979999999999,0.0,78.1648,0.0,9186.0,0.0,23.2787,13.095999999999998,34.0615,2349.0,36.3747,79439.0,0.0,31397.0
0,sub-HC06,2057.0,1725.0,45045.0,2.34029,25.2279,3.5720199999999998,0.0,13.7049,0.935898,0.716494,0.0,90.1145,0.0,14844.0,0.0,24.7546,19.8347,38.5057,3782.0,44.5893,97882.0,0.0,45045.0
0,sub-HC07,2770.0,2345.0,50625.0,2.54352,29.2045,2.58777,0.0,17.0547,0.9370209999999999,0.764584,0.0,75.5746,0.0,14866.0,0.0,28.7435,23.8896,29.7126,5115.0,52.6331,118255.0,0.0,50625.0
0,sub-HC09,1288.0,1252.0,35774.0,2.4171400000000003,23.1173,3.6869699999999996,0.0,14.173,1.67125,1.14625,0.0,85.2325,0.0,9029.0,0.0,26.176,21.3731,35.2617,2540.0,47.5491,87731.0,0.0,35774.0
0,sub-HC10,2874.0,1942.0,52714.0,2.3039,28.2477,2.9777299999999998,0.0,15.0269,0.724807,0.363477,0.0,84.11399999999999,0.0,16831.0,0.0,25.7501,14.9895,36.5094,4816.0,40.7397,112169.0,0.0,52714.0
0,sub-HC11,2288.0,1817.0,43172.0,2.3574,26.4719,2.96317,0.0,13.2096,0.554267,0.23791199999999998,0.0,78.4407,0.0,15610.0,0.0,20.0915,11.7303,33.2742,4105.0,31.8219,86172.0,0.0,43172.0
0,sub-HC12,1118.0,799.0,22548.0,2.40128,19.4319,3.91265,0.0,13.2336,1.47613,0.334869,0.0,76.0303,0.0,5813.0,0.0,22.9196,9.2286,31.6624,1917.0,32.1482,61423.0,0.0,22548.0
0,sub-HC13,1827.0,1558.0,42315.0,2.41933,25.1173,3.40004,0.0,13.4541,1.45784,0.8588370000000001,0.0,85.3999,0.0,13914.0,0.0,29.1172,20.6378,35.2991,3385.0,49.755,90664.0,0.0,42315.0
0,sub-HC14,1697.0,2010.0,44862.0,2.38108,26.4326,3.09293,0.0,15.9356,0.388137,1.79224,0.0,81.7541,0.0,12146.0,0.0,14.4797,33.8627,34.3349,3707.0,48.3423,108185.0,0.0,44862.0
0,sub-HC16,2191.0,1343.0,36123.0,2.3226400000000003,24.3303,3.19339,0.0,14.1836,0.626052,0.292101,0.0,77.6961,0.0,11652.0,0.0,20.8954,11.1745,33.4517,3534.0,32.07,84233.0,0.0,36123.0
